DateTime,PA07:NO2,PA07:NO,PA07:NOX,OBJECTID
2023/01/08 21:00:00+00,15,0.4,15.6,193
2023/01/08 22:00:00+00,11,0.2,11.5,194
2023/01/08 23:00:00+00,9.4,0.1,9.6,195
2023/01/09 00:00:00+00,8.9,0.1,9,196
2023/01/09 01:00:00+00,6.8,0.1,6.8,197
2023/01/09 02:00:00+00,5.3,0,5.2,198
2023/01/09 03:00:00+00,6,0,6.1,199
2023/01/09 04:00:00+00,5.4,0,5.2,200
2023/01/09 05:00:00+00,9.1,1.6,11.6,201
2023/01/09 06:00:00+00,12,0.8,13.2,202
2023/01/09 07:00:00+00,18.8,3,23.4,203
2023/01/09 08:00:00+00,22.1,2.9,26.6,204
2023/01/09 09:00:00+00,22.1,3.2,27,205
2023/01/09 10:00:00+00,16.6,2.7,20.8,206
2023/01/09 11:00:00+00,24.5,7.6,36,207
2023/01/09 12:00:00+00,15.3,3.6,20.9,208
2023/01/09 13:00:00+00,21.7,5.8,30.6,209
2023/01/09 14:00:00+00,21.5,4.9,29,210
2023/01/09 15:00:00+00,18,2.5,21.9,211
2023/01/09 16:00:00+00,21.3,2.2,24.8,212
2023/01/09 17:00:00+00,21.1,1.9,24,213
2023/01/09 18:00:00+00,19.8,2.8,24.1,214
2023/01/09 19:00:00+00,27.3,2.4,31,215
2023/01/09 20:00:00+00,25.1,2.1,28.3,216
2023/01/09 21:00:00+00,20.6,0.9,21.9,217
2023/01/09 22:00:00+00,22.2,1.6,24.8,218
2023/01/09 23:00:00+00,15.9,0.8,17.1,219
2023/01/10 00:00:00+00,14,0.2,14.3,220
2023/01/10 01:00:00+00,10.6,0,10.6,221
2023/01/10 02:00:00+00,10.5,0,10.3,222
2023/01/10 03:00:00+00,10.9,0,10.8,223
2023/01/10 04:00:00+00,8.4,0,8.4,224
2023/01/10 05:00:00+00,10.3,0.1,10.4,225
2023/01/10 06:00:00+00,17.9,0.5,18.5,226
2023/01/10 07:00:00+00,35.1,3.4,40.4,227
2023/01/10 08:00:00+00,49.1,8.7,62.6,228
2023/01/10 09:00:00+00,46.7,6.7,56.8,229
2023/01/10 10:00:00+00,39.7,6.7,50,230
2023/01/10 11:00:00+00,35.2,5.8,43.6,231
2023/01/10 12:00:00+00,30.4,3.6,35.8,232
2023/01/10 13:00:00+00,19.8,2.9,24.3,233
2023/01/10 14:00:00+00,19.6,2,22.5,234
2023/01/10 15:00:00+00,18.4,1.5,20.7,235
2023/01/10 16:00:00+00,18.6,1.1,20.3,236
2023/01/10 17:00:00+00,20.3,0.8,21.5,237
2023/01/10 18:00:00+00,21.6,1,23.1,238
2023/01/10 19:00:00+00,19.9,0.6,20.9,239
2023/01/10 20:00:00+00,13.8,0.4,14.2,240
2023/01/10 21:00:00+00,11,0.3,11.5,241
2023/01/10 22:00:00+00,9,0.2,9.4,242
2023/01/10 23:00:00+00,7.5,0.3,8,243
2023/01/11 00:00:00+00,5.1,0,5.1,244
2023/01/11 01:00:00+00,4.2,0,4,245
2023/01/11 02:00:00+00,3.3,0,3.2,246
2023/01/11 03:00:00+00,4.4,0,4.2,247
2023/01/11 04:00:00+00,7.3,0,7.2,248
2023/01/11 05:00:00+00,8.1,0,8.1,249
2023/01/11 06:00:00+00,12.7,0.5,13.5,250
2023/01/11 07:00:00+00,25.8,1.4,28,251
2023/01/11 08:00:00+00,43.9,5.9,52.6,252
2023/01/11 09:00:00+00,48.6,9.7,63.4,253
2023/01/11 10:00:00+00,39.7,8.6,52.9,254
2023/01/11 11:00:00+00,38.2,9.1,52.1,255
2023/01/11 12:00:00+00,18.2,3,22.9,256
2023/01/11 13:00:00+00,17,4.3,23.7,257
2023/01/11 14:00:00+00,26.4,6.8,36.8,258
2023/01/11 15:00:00+00,27,4.3,33.6,259
2023/01/11 16:00:00+00,28.8,3.3,33.8,260
2023/01/11 17:00:00+00,21.6,0.6,22.5,261
2023/01/11 18:00:00+00,19.9,0.5,20.8,262
2023/01/11 19:00:00+00,22.7,0.6,23.6,263
2023/01/11 20:00:00+00,15,0.3,15.5,264
2023/01/11 21:00:00+00,11.1,0.4,11.7,265
2023/01/11 22:00:00+00,9.4,0.2,9.7,266
2023/01/11 23:00:00+00,9.2,0,9.3,267
2023/01/12 00:00:00+00,8.6,0,8.5,268
2023/01/12 01:00:00+00,7.8,0,7.7,269
2023/01/12 02:00:00+00,6,0,5.8,270
2023/01/12 03:00:00+00,4.9,0,4.8,271
2023/01/12 04:00:00+00,4.9,0,4.7,272
2023/01/12 05:00:00+00,5.8,0,5.6,273
2023/01/12 06:00:00+00,7.7,0.1,7.8,274
2023/01/12 07:00:00+00,14.1,0.4,14.8,275
2023/01/12 08:00:00+00,20.1,1.4,22.3,276
2023/01/12 09:00:00+00,23.6,2.4,26.8,277
2023/01/12 10:00:00+00,21.2,1.5,23.6,278
2023/01/12 11:00:00+00,21.9,2.5,25.8,279
2023/01/12 12:00:00+00,18.9,2.1,22.1,280
2023/01/12 13:00:00+00,16,1.7,18.5,281
2023/01/12 14:00:00+00,13.8,0.9,15.2,282
2023/01/12 15:00:00+00,18.9,4.5,24.5,283
2023/01/12 16:00:00+00,14.7,0.9,16,284
2023/01/12 17:00:00+00,13.5,0.3,14.1,285
2023/01/12 18:00:00+00,13.2,0.2,13.5,286
2023/01/12 19:00:00+00,14,0.2,14.3,287
2023/01/12 20:00:00+00,11,0.3,11.4,288
2023/01/12 21:00:00+00,10.2,0.2,10.5,289
2023/01/12 22:00:00+00,9.1,0.1,9.2,290
2023/01/12 23:00:00+00,8.9,0.1,9.1,291
2023/01/13 00:00:00+00,8.8,0,8.7,292
2023/01/13 01:00:00+00,7.2,0,7.2,293
2023/01/13 02:00:00+00,6.5,0,6.4,294
2023/01/13 03:00:00+00,5.3,0,5.2,295
2023/01/13 04:00:00+00,5.5,0,5.5,296
2023/01/13 05:00:00+00,6.2,0,6.1,297
2023/01/13 06:00:00+00,10.9,0.1,11.2,298
2023/01/13 07:00:00+00,17.9,0.6,19,299
2023/01/13 08:00:00+00,25.8,1.7,28.4,300
2023/01/13 09:00:00+00,26.5,2.7,30.7,301
2023/01/13 10:00:00+00,20.3,2.7,24.5,302
2023/01/13 11:00:00+00,14.7,2.6,18.7,303
2023/01/13 12:00:00+00,14,1.9,16.9,304
2023/01/13 13:00:00+00,15.1,2.2,18.5,305
2023/01/13 14:00:00+00,15.1,1.9,17.9,306
2023/01/13 15:00:00+00,15.6,2,18.6,307
2023/01/13 16:00:00+00,18.1,1.3,20.1,308
2023/01/13 17:00:00+00,21.7,0.9,23.1,309
2023/01/13 18:00:00+00,26.1,1.2,27.9,310
2023/01/13 19:00:00+00,52.8,9.2,66.9,311
2023/01/13 20:00:00+00,33.7,2.3,37.3,312
2023/01/13 21:00:00+00,23.2,0.4,23.8,313
2023/01/13 22:00:00+00,16.5,0.3,17,314
2023/01/13 23:00:00+00,16.4,0.2,16.8,315
2023/01/14 00:00:00+00,15.6,0.1,15.9,316
2023/01/14 01:00:00+00,13.8,0.1,13.9,317
2023/01/14 02:00:00+00,12.7,0,12.6,318
2023/01/14 03:00:00+00,11.9,0.1,12.1,319
2023/01/14 04:00:00+00,6.1,0.1,6.3,320
2023/01/14 05:00:00+00,5,0,5,321
2023/01/14 06:00:00+00,4.6,0,4.4,322
2023/01/14 07:00:00+00,5.2,0,5.2,323
2023/01/14 08:00:00+00,5.3,0.3,5.6,324
2023/01/14 09:00:00+00,7,0.1,7.2,325
2023/01/14 10:00:00+00,7.9,0.4,8.5,326
2023/01/14 11:00:00+00,7.9,0.3,8.3,327
2023/01/14 12:00:00+00,7.9,0.2,8.3,328
2023/01/14 13:00:00+00,8,0.4,8.6,329
2023/01/14 14:00:00+00,7.9,0.5,8.7,330
2023/01/14 15:00:00+00,8.7,0.4,9.3,331
2023/01/14 16:00:00+00,12.2,0.4,12.8,332
2023/01/14 17:00:00+00,10.4,0.2,10.8,333
2023/01/14 18:00:00+00,12.1,0.4,12.7,334
2023/01/14 19:00:00+00,13.5,0.9,14.8,335
2023/01/14 20:00:00+00,22.2,1.6,24.4,336
2023/01/14 21:00:00+00,26.1,1.8,28.9,337
2023/01/14 22:00:00+00,24.6,3,29.2,338
2023/01/14 23:00:00+00,15.4,1.2,17.2,339
2023/01/15 00:00:00+00,15.1,0.3,15.6,340
2023/01/15 01:00:00+00,11.5,0.1,11.6,341
2023/01/15 02:00:00+00,8.7,0,8.5,342
2023/01/15 03:00:00+00,6.3,0,6.1,343
2023/01/15 04:00:00+00,6.4,0,6.3,344
2023/01/15 05:00:00+00,5.7,0,5.5,345
2023/01/15 06:00:00+00,6.7,0.1,6.7,346
2023/01/15 07:00:00+00,6.8,0,6.7,347
2023/01/15 08:00:00+00,8,0,8,348
2023/01/15 09:00:00+00,9.2,0.3,9.6,349
2023/01/15 10:00:00+00,9.1,0.7,10.1,350
2023/01/15 11:00:00+00,7.4,0.7,8.6,351
2023/01/15 12:00:00+00,8.7,1.4,10.8,352
2023/01/15 13:00:00+00,7.8,1.1,9.4,353
2023/01/15 14:00:00+00,8.4,1.2,10.1,354
2023/01/15 15:00:00+00,8.6,0.6,9.7,355
2023/01/15 16:00:00+00,10.1,0.3,10.6,356
2023/01/15 17:00:00+00,11.4,0.3,11.9,357
2023/01/15 18:00:00+00,13.4,0.3,14,358
2023/01/15 19:00:00+00,12.1,0.1,12.3,359
2023/01/15 20:00:00+00,12.3,1.4,14.6,360
2023/01/15 21:00:00+00,11.8,0.4,12.6,361
2023/01/15 22:00:00+00,8.9,0.1,9.1,362
2023/01/15 23:00:00+00,7.5,0.1,7.6,363
2023/01/16 00:00:00+00,5.6,0,5.6,364
2023/01/16 01:00:00+00,5.9,0,5.9,365
2023/01/16 02:00:00+00,4.4,0,4.5,366
2023/01/16 03:00:00+00,4,0,4.2,367
2023/01/16 04:00:00+00,3.8,0,3.7,368
2023/01/16 05:00:00+00,4.3,0,4.1,369
2023/01/16 06:00:00+00,7.7,0.8,8.9,370
2023/01/16 07:00:00+00,13.9,7.7,25.3,371
2023/01/16 08:00:00+00,15.1,0.7,16.3,372
2023/01/16 09:00:00+00,15.5,1.1,17.3,373
2023/01/16 10:00:00+00,20.6,2.9,25,374
2023/01/16 11:00:00+00,19.2,4,25.2,375
2023/01/16 12:00:00+00,17.8,4.1,24.1,376
2023/01/16 13:00:00+00,16.6,5.1,24.3,377
2023/01/16 14:00:00+00,20.6,4.6,27.6,378
2023/01/16 15:00:00+00,18.3,5,26,379
2023/01/16 16:00:00+00,23,5.8,32,380
2023/01/16 17:00:00+00,27.1,3.2,32.1,381
2023/01/16 18:00:00+00,26.9,2.5,30.8,382
2023/01/16 19:00:00+00,36.9,3.9,42.9,383
2023/01/16 20:00:00+00,37.5,3,42,384
2023/01/16 21:00:00+00,27.5,1.1,29.2,385
2023/01/16 22:00:00+00,26,0.7,27.1,386
2023/01/16 23:00:00+00,19.9,0.3,20.5,387
2023/01/17 00:00:00+00,15.8,0.1,15.9,388
2023/01/17 01:00:00+00,13.3,0,13.3,389
2023/01/17 02:00:00+00,12.5,0,12.4,390
2023/01/17 03:00:00+00,15.6,0,15.5,391
2023/01/17 04:00:00+00,25.7,0.1,25.8,392
2023/01/17 05:00:00+00,34.7,0.6,35.8,393
2023/01/17 06:00:00+00,50.5,4.3,57.1,394
2023/01/17 07:00:00+00,53,10.2,68.7,395
2023/01/17 08:00:00+00,53.5,16,77.9,396
2023/01/17 09:00:00+00,48.6,7.8,60.6,397
2023/01/17 10:00:00+00,50.8,14,72.2,398
2023/01/17 11:00:00+00,51.4,13.6,72.3,399
2023/01/17 12:00:00+00,43.8,6.6,53.9,400
2023/01/17 13:00:00+00,31.4,4.4,38.1,401
2023/01/17 14:00:00+00,40.3,10.5,55.9,402
2023/01/17 15:00:00+00,39.3,11.7,57.3,403
2023/01/17 16:00:00+00,41.2,10.3,57.1,404
2023/01/17 17:00:00+00,36.2,7.5,47.7,405
2023/01/17 18:00:00+00,42.4,8.5,55.5,406
2023/01/17 19:00:00+00,45.1,10.5,61.2,407
2023/01/17 20:00:00+00,35,6.7,45.1,408
2023/01/17 21:00:00+00,27.8,4.2,34.1,409
2023/01/17 22:00:00+00,31.8,5.8,40.7,410
2023/01/17 23:00:00+00,31.6,4.5,38.6,411
2023/01/18 00:00:00+00,29.8,4.1,36.2,412
2023/01/18 01:00:00+00,25.3,2.9,29.8,413
2023/01/18 02:00:00+00,24.2,0.6,25,414
2023/01/18 03:00:00+00,26.4,0.5,27,415
2023/01/18 04:00:00+00,32.9,1.4,35.1,416
2023/01/18 05:00:00+00,32.2,2.2,35.6,417
2023/01/18 06:00:00+00,42.9,5.6,51.5,418
2023/01/18 07:00:00+00,50.5,17,76.6,419
2023/01/18 08:00:00+00,57.5,31.7,106,420
2023/01/18 09:00:00+00,56.5,37.3,113.8,421
2023/01/18 10:00:00+00,49.8,36.2,104.6,422
2023/01/18 11:00:00+00,31.6,15.3,55,423
2023/01/18 12:00:00+00,29,10,44.3,424
2023/01/18 13:00:00+00,25.4,8.7,38.9,425
2023/01/18 14:00:00+00,23.8,5.8,32.6,426
2023/01/18 15:00:00+00,26.8,6.7,37,427
2023/01/18 16:00:00+00,27.3,3.2,32.4,428
2023/01/18 17:00:00+00,27.8,4.4,34.6,429
2023/01/18 18:00:00+00,31,3.1,35.8,430
2023/01/18 19:00:00+00,35.5,4,41.7,431
2023/01/18 20:00:00+00,31.3,4.9,39,432
2023/01/18 21:00:00+00,29.1,2.3,32.4,433
2023/01/18 22:00:00+00,25,2.9,29.4,434
2023/01/18 23:00:00+00,17.8,1.8,20.6,435
2023/01/19 00:00:00+00,14.8,0.5,15.5,436
2023/01/19 01:00:00+00,11.8,0.7,12.8,437
2023/01/19 02:00:00+00,9,0.1,9.3,438
2023/01/19 03:00:00+00,10,0.1,10,439
2023/01/19 04:00:00+00,13,0.1,13.2,440
2023/01/19 05:00:00+00,16.8,0.5,17.6,441
2023/01/19 06:00:00+00,23.9,1.4,26.1,442
2023/01/19 07:00:00+00,37.9,2.9,42.4,443
2023/01/19 08:00:00+00,47.7,7.1,58.6,444
2023/01/19 09:00:00+00,47,12.3,65.8,445
2023/01/19 10:00:00+00,40.8,12.8,60.2,446
2023/01/19 11:00:00+00,34.3,11.5,52.1,447
2023/01/19 12:00:00+00,32.5,10.9,49.2,448
2023/01/19 13:00:00+00,22.6,4.3,29.2,449
2023/01/19 14:00:00+00,22.2,2.8,26.5,450
2023/01/19 15:00:00+00,21.4,2.4,25,451
2023/01/19 16:00:00+00,21.7,1.7,24.3,452
2023/01/19 17:00:00+00,26.8,1.4,29,453
2023/01/19 18:00:00+00,36.9,5.7,45.6,454
2023/01/19 19:00:00+00,42.2,9.1,56.1,455
2023/01/19 20:00:00+00,43.6,13.4,64.2,456
2023/01/19 21:00:00+00,45.2,14.5,67.4,457
2023/01/19 22:00:00+00,42.8,16.2,67.7,458
2023/01/19 23:00:00+00,28.6,3.1,33.4,459
2023/01/20 00:00:00+00,19.3,1.7,21.9,460
2023/01/20 01:00:00+00,13.6,1,15,461
2023/01/20 02:00:00+00,16.9,1.8,19.6,462
2023/01/20 03:00:00+00,15.7,0.3,16.1,463
2023/01/20 04:00:00+00,14.7,0.3,15.2,464
2023/01/20 05:00:00+00,14.4,0.4,15,465
2023/01/20 06:00:00+00,27.9,2.3,31.6,466
2023/01/20 07:00:00+00,41.3,8.3,54,467
2023/01/20 08:00:00+00,50.7,15.5,74.5,468
2023/01/20 09:00:00+00,51.5,19.6,81.6,469
2023/01/20 10:00:00+00,41.4,13.1,61.3,470
2023/01/20 11:00:00+00,33,8.9,46.5,471
2023/01/20 12:00:00+00,28.5,7.5,40,472
2023/01/20 13:00:00+00,24.3,6.2,33.9,473
2023/01/20 14:00:00+00,22.1,5.6,30.7,474
2023/01/20 15:00:00+00,25.3,5.2,33.3,475
2023/01/20 16:00:00+00,28.1,3.6,33.6,476
2023/01/20 17:00:00+00,38.3,6.1,47.6,477
2023/01/20 18:00:00+00,46,7.2,57.1,478
2023/01/20 19:00:00+00,50.9,9.4,65.4,479
2023/01/20 20:00:00+00,52.8,7.6,64.5,480
2023/01/20 21:00:00+00,48.3,6.6,58.4,481
2023/01/20 22:00:00+00,41.4,7.1,52.3,482
2023/01/20 23:00:00+00,28,3.4,33.1,483
2023/01/21 00:00:00+00,21.3,1.6,23.7,484
2023/01/21 01:00:00+00,19.2,1.4,21.3,485
2023/01/21 02:00:00+00,14.9,1,16.5,486
2023/01/21 03:00:00+00,13.3,0.5,14.2,487
2023/01/21 04:00:00+00,13.3,0.2,13.7,488
2023/01/21 05:00:00+00,19,0.6,19.8,489
2023/01/21 06:00:00+00,17.5,0.6,18.6,490
2023/01/21 07:00:00+00,20.9,1.1,22.7,491
2023/01/21 08:00:00+00,25.4,2.8,29.8,492
2023/01/21 09:00:00+00,28.1,8.4,41,493
2023/01/21 10:00:00+00,27.6,10.1,43,494
2023/01/21 11:00:00+00,26,8.3,38.8,495
2023/01/21 12:00:00+00,26.5,9.3,40.9,496
2023/01/21 13:00:00+00,23.6,8.3,36.2,497
